DATETIME,OPEN,HIGH,LOW,CLOSE
2014-06-17-08:00,1.3,1.3065,1.2935,1.3
2014-06-17-09:00,1.3002,1.306701,1.293699,1.3002
2014-06-17-10:00,1.3004,1.306902,1.293898,1.3004
2014-06-17-11:00,1.300599999,1.307102999,1.294096999,1.300599999
2014-06-17-12:00,1.300799998,1.307303998,1.294295998,1.300799998
2014-06-17-13:00,1.300999996,1.307504996,1.294494996,1.300999996
2014-06-17-14:00,1.301199993,1.307705993,1.294693993,1.301199993
2014-06-17-15:00,1.301399989,1.307906989,1.294892989,1.301399989
2014-06-17-16:00,1.301599983,1.308107983,1.295091983,1.301599983
2014-06-17-17:00,1.301799976,1.308308976,1.295290976,1.301799976
2014-06-17-18:00,1.301999967,1.308509967,1.295489967,1.301999967
2014-06-17-19:00,1.302199956,1.308710955,1.295688956,1.302199956
2014-06-17-20:00,1.302399942,1.308911942,1.295887943,1.302399942
2014-06-17-21:00,1.302599927,1.309112926,1.296086927,1.302599927
2014-06-17-22:00,1.302799909,1.309313908,1.296285909,1.302799909
2014-06-17-23:00,1.302999888,1.309514887,1.296484888,1.302999888
2014-06-18-00:00,1.303199863,1.309715863,1.296683864,1.303199863
2014-06-18-01:00,1.303399836,1.309916835,1.296882837,1.303399836
2014-06-18-02:00,1.303599806,1.310117805,1.297081807,1.303599806
2014-06-18-03:00,1.303799771,1.31031877,1.297280773,1.303799771
2014-06-18-04:00,1.303999733,1.310519732,1.297479735,1.303999733
2014-06-18-05:00,1.304199691,1.31072069,1.297678693,1.304199691
2014-06-18-06:00,1.304399645,1.310921643,1.297877647,1.304399645
2014-06-18-07:00,1.304599594,1.311122592,1.298076596,1.304599594
2014-06-18-08:00,1.304799539,1.311323537,1.298275542,1.304799539
2014-06-18-09:00,1.304999479,1.311524477,1.298474482,1.304999479
2014-06-18-10:00,1.305199414,1.311725411,1.298673417,1.305199414
2014-06-18-11:00,1.305399344,1.311926341,1.298872347,1.305399344
2014-06-18-12:00,1.305599268,1.312127265,1.299071272,1.305599268
2014-06-18-13:00,1.305799187,1.312328183,1.299270191,1.305799187
2014-06-18-14:00,1.3059991,1.312529096,1.299469105,1.3059991
2014-06-18-15:00,1.306199007,1.312730002,1.299668012,1.306199007
2014-06-18-16:00,1.306398908,1.312930902,1.299866913,1.306398908
2014-06-18-17:00,1.306598802,1.313131796,1.300065808,1.306598802
2014-06-18-18:00,1.30679869,1.313332683,1.300264696,1.30679869
2014-06-18-19:00,1.306998571,1.313533564,1.300463578,1.306998571
2014-06-18-20:00,1.307198445,1.313734437,1.300662453,1.307198445
2014-06-18-21:00,1.307398312,1.313935303,1.30086132,1.307398312
2014-06-18-22:00,1.307598171,1.314136162,1.30106018,1.307598171
2014-06-18-23:00,1.307798023,1.314337013,1.301259033,1.307798023
2014-06-19-00:00,1.307997867,1.314537856,1.301457878,1.307997867
2014-06-19-01:00,1.308197703,1.314738691,1.301656714,1.308197703
2014-06-19-02:00,1.308397531,1.314939518,1.301855543,1.308397531
2014-06-19-03:00,1.30859735,1.315140337,1.302054363,1.30859735
2014-06-19-04:00,1.308797161,1.315341147,1.302253175,1.308797161
2014-06-19-05:00,1.308996963,1.315541948,1.302451978,1.308996963
2014-06-19-06:00,1.309196756,1.31574274,1.302650772,1.309196756
2014-06-19-07:00,1.30939654,1.315943522,1.302849557,1.30939654
2014-06-19-08:00,1.309596314,1.316144296,1.303048332,1.309596314
2014-06-19-09:00,1.309796079,1.316345059,1.303247098,1.309796079
2014-06-19-10:00,1.309995834,1.316545813,1.303445855,1.309995834
2014-06-19-11:00,1.310195579,1.316746557,1.303644601,1.310195579
2014-06-19-12:00,1.310395314,1.31694729,1.303843337,1.310395314
2014-06-19-13:00,1.310595038,1.317148013,1.304042063,1.310595038
2014-06-19-14:00,1.310794752,1.317348726,1.304240778,1.310794752
2014-06-19-15:00,1.310994455,1.317549427,1.304439483,1.310994455
2014-06-19-16:00,1.311194147,1.317750118,1.304638176,1.311194147
2014-06-19-17:00,1.311393828,1.317950797,1.304836859,1.311393828
2014-06-19-18:00,1.311593497,1.318151465,1.30503553,1.311593497
2014-06-19-19:00,1.311793155,1.318352121,1.305234189,1.311793155
2014-06-19-20:00,1.311992801,1.318552765,1.305432837,1.311992801
2014-06-19-21:00,1.312192435,1.318753398,1.305631473,1.312192435
2014-06-19-22:00,1.312392057,1.318954018,1.305830097,1.312392057
2014-06-19-23:00,1.312591667,1.319154625,1.306028708,1.312591667
2014-06-20-00:00,1.312791264,1.31935522,1.306227307,1.312791264
2014-06-20-01:00,1.312990848,1.319555802,1.306425894,1.312990848
2014-06-20-02:00,1.313190419,1.319756371,1.306624467,1.313190419
2014-06-20-03:00,1.313389977,1.319956927,1.306823027,1.313389977
2014-06-20-04:00,1.313589521,1.320157469,1.307021574,1.313589521
2014-06-20-05:00,1.313789052,1.320357998,1.307220107,1.313789052
2014-06-20-06:00,1.313988569,1.320558512,1.307418627,1.313988569
2014-06-20-07:00,1.314188073,1.320759013,1.307617132,1.314188073
2014-06-20-08:00,1.314387562,1.320959499,1.307815624,1.314387562
2014-06-20-09:00,1.314587036,1.321159971,1.308014101,1.314587036
2014-06-20-10:00,1.314786496,1.321360429,1.308212564,1.314786496
2014-06-20-11:00,1.314985941,1.321560871,1.308411012,1.314985941
2014-06-20-12:00,1.315185372,1.321761299,1.308609445,1.315185372
2014-06-20-13:00,1.315384787,1.321961711,1.308807863,1.315384787
2014-06-20-14:00,1.315584186,1.322162107,1.309006265,1.315584186
2014-06-20-15:00,1.31578357,1.322362488,1.309204653,1.31578357
2014-06-20-16:00,1.315982939,1.322562853,1.309403024,1.315982939
2014-06-22-17:00,1.316182291,1.322763203,1.30960138,1.316182291
2014-06-22-18:00,1.316381627,1.322963535,1.309799719,1.316381627
2014-06-22-19:00,1.316580947,1.323163852,1.309998042,1.316580947
2014-06-22-20:00,1.31678025,1.323364151,1.310196349,1.31678025
2014-06-22-21:00,1.316979537,1.323564434,1.310394639,1.316979537
2014-06-22-22:00,1.317178806,1.3237647,1.310592912,1.317178806
2014-06-22-23:00,1.317378058,1.323964948,1.310791168,1.317378058
2014-06-23-00:00,1.317577293,1.32416518,1.310989407,1.317577293
2014-06-23-01:00,1.31777651,1.324365393,1.311187628,1.31777651
2014-06-23-02:00,1.31797571,1.324565588,1.311385831,1.31797571
2014-06-23-03:00,1.318174891,1.324765766,1.311584017,1.318174891
2014-06-23-04:00,1.318374055,1.324965925,1.311782184,1.318374055
2014-06-23-05:00,1.3185732,1.325166066,1.311980334,1.3185732
2014-06-23-06:00,1.318772326,1.325366188,1.312178464,1.318772326
2014-06-23-07:00,1.318971434,1.325566291,1.312376577,1.318971434
2014-06-23-08:00,1.319170522,1.325766375,1.31257467,1.319170522
2014-06-23-09:00,1.319369592,1.32596644,1.312772744,1.319369592
2014-06-23-10:00,1.319568642,1.326166485,1.312970799,1.319568642
2014-06-23-11:00,1.319767673,1.326366511,1.313168834,1.319767673
2014-06-23-12:00,1.319966683,1.326566517,1.31336685,1.319966683
2014-06-23-13:00,1.320165674,1.326766503,1.313564846,1.320165674
2014-06-23-14:00,1.320364645,1.326966468,1.313762822,1.320364645
2014-06-23-15:00,1.320563595,1.327166413,1.313960777,1.320563595
2014-06-23-16:00,1.320762525,1.327366337,1.314158712,1.320762525
2014-06-23-17:00,1.320961434,1.327566241,1.314356627,1.320961434
2014-06-23-18:00,1.321160322,1.327766123,1.31455452,1.321160322
2014-06-23-19:00,1.321359189,1.327965985,1.314752393,1.321359189
2014-06-23-20:00,1.321558034,1.328165824,1.314950244,1.321558034
2014-06-23-21:00,1.321756858,1.328365642,1.315148074,1.321756858
2014-06-23-22:00,1.32195566,1.328565438,1.315345882,1.32195566
2014-06-23-23:00,1.32215444,1.328765213,1.315543668,1.32215444
2014-06-24-00:00,1.322353198,1.328964964,1.315741432,1.322353198
2014-06-24-01:00,1.322551934,1.329164694,1.315939174,1.322551934
2014-06-24-02:00,1.322750647,1.329364401,1.316136894,1.322750647
2014-06-24-03:00,1.322949338,1.329564084,1.316334591,1.322949338
2014-06-24-04:00,1.323148005,1.329763745,1.316532265,1.323148005
2014-06-24-05:00,1.323346649,1.329963383,1.316729916,1.323346649
2014-06-24-06:00,1.32354527,1.330162997,1.316927544,1.32354527
2014-06-24-07:00,1.323743868,1.330362587,1.317125148,1.323743868
2014-06-24-08:00,1.323942441,1.330562154,1.317322729,1.323942441
2014-06-24-09:00,1.324140991,1.330761696,1.317520286,1.324140991
2014-06-24-10:00,1.324339517,1.330961214,1.317717819,1.324339517
2014-06-24-11:00,1.324538018,1.331160708,1.317915328,1.324538018
2014-06-24-12:00,1.324736495,1.331360177,1.318112812,1.324736495
2014-06-24-13:00,1.324934947,1.331559621,1.318310272,1.324934947
2014-06-24-14:00,1.325133374,1.331759041,1.318507707,1.325133374
2014-06-24-15:00,1.325331776,1.331958434,1.318705117,1.325331776
2014-06-24-16:00,1.325530152,1.332157803,1.318902501,1.325530152
2014-06-24-17:00,1.325728503,1.332357146,1.319099861,1.325728503
2014-06-24-18:00,1.325926829,1.332556463,1.319297194,1.325926829
2014-06-24-19:00,1.326125128,1.332755754,1.319494502,1.326125128
2014-06-24-20:00,1.326323401,1.332955018,1.319691784,1.326323401
2014-06-24-21:00,1.326521648,1.333154256,1.31988904,1.326521648
2014-06-24-22:00,1.326719869,1.333353468,1.320086269,1.326719869
2014-06-24-23:00,1.326918062,1.333552653,1.320283472,1.326918062
2014-06-25-00:00,1.327116229,1.33375181,1.320480648,1.327116229
2014-06-25-01:00,1.327314369,1.33395094,1.320677797,1.327314369
2014-06-25-02:00,1.327512481,1.334150043,1.320874919,1.327512481
2014-06-25-03:00,1.327710566,1.334349119,1.321072013,1.327710566
2014-06-25-04:00,1.327908623,1.334548166,1.32126908,1.327908623
2014-06-25-05:00,1.328106652,1.334747185,1.321466119,1.328106652
2014-06-25-06:00,1.328304653,1.334946177,1.32166313,1.328304653
2014-06-25-07:00,1.328502626,1.335145139,1.321860113,1.328502626
2014-06-25-08:00,1.32870057,1.335344073,1.322057067,1.32870057
2014-06-25-09:00,1.328898486,1.335542978,1.322253994,1.328898486
2014-06-25-10:00,1.329096373,1.335741855,1.322450891,1.329096373
2014-06-25-11:00,1.32929423,1.335940701,1.322647759,1.32929423
2014-06-25-12:00,1.329492059,1.336139519,1.322844598,1.329492059
2014-06-25-13:00,1.329689857,1.336338307,1.323041408,1.329689857
2014-06-25-14:00,1.329887626,1.336537065,1.323238188,1.329887626
2014-06-25-15:00,1.330085366,1.336735793,1.323434939,1.330085366
2014-06-25-16:00,1.330283075,1.33693449,1.32363166,1.330283075
2014-06-25-17:00,1.330480754,1.337133158,1.32382835,1.330480754
2014-06-25-18:00,1.330678402,1.337331794,1.32402501,1.330678402
2014-06-25-19:00,1.33087602,1.3375304,1.32422164,1.33087602
2014-06-25-20:00,1.331073607,1.337728975,1.324418239,1.331073607
2014-06-25-21:00,1.331271162,1.337927518,1.324614807,1.331271162
2014-06-25-22:00,1.331468687,1.33812603,1.324811344,1.331468687
2014-06-25-23:00,1.33166618,1.338324511,1.325007849,1.33166618
2014-06-26-00:00,1.331863641,1.33852296,1.325204323,1.331863641
2014-06-26-01:00,1.332061071,1.338721376,1.325400765,1.332061071
2014-06-26-02:00,1.332258468,1.338919761,1.325597176,1.332258468
2014-06-26-03:00,1.332455833,1.339118113,1.325793554,1.332455833
2014-06-26-04:00,1.332653166,1.339316432,1.3259899,1.332653166
2014-06-26-05:00,1.332850466,1.339514719,1.326186214,1.332850466
2014-06-26-06:00,1.333047733,1.339712972,1.326382495,1.333047733
2014-06-26-07:00,1.333244968,1.339911192,1.326578743,1.333244968
2014-06-26-08:00,1.333442168,1.340109379,1.326774958,1.333442168
2014-06-26-09:00,1.333639336,1.340307533,1.326971139,1.333639336
2014-06-26-10:00,1.33383647,1.340505652,1.327167287,1.33383647
2014-06-26-11:00,1.33403357,1.340703738,1.327363402,1.33403357
2014-06-26-12:00,1.334230636,1.340901789,1.327559483,1.334230636
2014-06-26-13:00,1.334427668,1.341099806,1.327755529,1.334427668
2014-06-26-14:00,1.334624665,1.341297788,1.327951542,1.334624665
2014-06-26-15:00,1.334821628,1.341495736,1.328147519,1.334821628
2014-06-26-16:00,1.335018555,1.341693648,1.328343463,1.335018555
2014-06-26-17:00,1.335215448,1.341891525,1.328539371,1.335215448
2014-06-26-18:00,1.335412306,1.342089367,1.328735244,1.335412306
2014-06-26-19:00,1.335609128,1.342287174,1.328931082,1.335609128
2014-06-26-20:00,1.335805915,1.342484944,1.329126885,1.335805915
2014-06-26-21:00,1.336002665,1.342682679,1.329322652,1.336002665
2014-06-26-22:00,1.33619938,1.342880377,1.329518383,1.33619938
2014-06-26-23:00,1.336396059,1.343078039,1.329714079,1.336396059
2014-06-27-00:00,1.336592701,1.343275665,1.329909738,1.336592701
2014-06-27-01:00,1.336789307,1.343473253,1.33010536,1.336789307
2014-06-27-02:00,1.336985876,1.343670805,1.330300946,1.336985876
2014-06-27-03:00,1.337182407,1.343868319,1.330496495,1.337182407
2014-06-27-04:00,1.337378902,1.344065797,1.330692008,1.337378902
2014-06-27-05:00,1.337575359,1.344263236,1.330887482,1.337575359
2014-06-27-06:00,1.337771779,1.344460638,1.33108292,1.337771779
2014-06-27-07:00,1.337968161,1.344658002,1.33127832,1.337968161
2014-06-27-08:00,1.338164505,1.344855327,1.331473682,1.338164505
2014-06-27-09:00,1.338360811,1.345052615,1.331669007,1.338360811
2014-06-27-10:00,1.338557078,1.345249864,1.331864293,1.338557078
2014-06-27-11:00,1.338753307,1.345447074,1.33205954,1.338753307
2014-06-27-12:00,1.338949497,1.345644245,1.33225475,1.338949497
2014-06-27-13:00,1.339145648,1.345841377,1.33244992,1.339145648
2014-06-27-14:00,1.33934176,1.346038469,1.332645052,1.33934176
2014-06-27-15:00,1.339537833,1.346235522,1.332840144,1.339537833
2014-06-27-16:00,1.339733866,1.346432535,1.333035197,1.339733866
2014-06-29-17:00,1.33992986,1.346629509,1.33323021,1.33992986
2014-06-29-18:00,1.340125813,1.346826442,1.333425184,1.340125813
2014-06-29-19:00,1.340321726,1.347023335,1.333620118,1.340321726
2014-06-29-20:00,1.340517599,1.347220187,1.333815011,1.340517599
2014-06-29-21:00,1.340713432,1.347416999,1.334009865,1.340713432
2014-06-29-22:00,1.340909224,1.34761377,1.334204678,1.340909224
2014-06-29-23:00,1.341104975,1.3478105,1.33439945,1.341104975
2014-06-30-00:00,1.341300684,1.348007188,1.334594181,1.341300684
2014-06-30-01:00,1.341496353,1.348203835,1.334788871,1.341496353
2014-06-30-02:00,1.34169198,1.34840044,1.33498352,1.34169198
2014-06-30-03:00,1.341887565,1.348597003,1.335178127,1.341887565
2014-06-30-04:00,1.342083109,1.348793524,1.335372693,1.342083109
2014-06-30-05:00,1.34227861,1.348990003,1.335567217,1.34227861
2014-06-30-06:00,1.342474069,1.349186439,1.335761699,1.342474069
2014-06-30-07:00,1.342669486,1.349382833,1.335956138,1.342669486
2014-06-30-08:00,1.34286486,1.349579184,1.336150535,1.34286486
2014-06-30-09:00,1.343060191,1.349775492,1.33634489,1.343060191
2014-06-30-10:00,1.343255479,1.349971756,1.336539201,1.343255479
2014-06-30-11:00,1.343450723,1.350167977,1.33673347,1.343450723
2014-06-30-12:00,1.343645925,1.350364154,1.336927695,1.343645925
2014-06-30-13:00,1.343841082,1.350560288,1.337121877,1.343841082
2014-06-30-14:00,1.344036196,1.350756377,1.337316015,1.344036196
2014-06-30-15:00,1.344231266,1.350952422,1.337510109,1.344231266
2014-06-30-16:00,1.344426291,1.351148423,1.33770416,1.344426291
2014-06-30-17:00,1.344621272,1.351344379,1.337898166,1.344621272
2014-06-30-18:00,1.344816209,1.35154029,1.338092128,1.344816209
2014-06-30-19:00,1.345011101,1.351736156,1.338286045,1.345011101
2014-06-30-20:00,1.345205947,1.351931977,1.338479917,1.345205947
2014-06-30-21:00,1.345400749,1.352127752,1.338673745,1.345400749
2014-06-30-22:00,1.345595505,1.352323482,1.338867527,1.345595505
2014-06-30-23:00,1.345790215,1.352519166,1.339061264,1.345790215
2014-07-01-00:00,1.34598488,1.352714804,1.339254955,1.34598488
2014-07-01-01:00,1.346179498,1.352910396,1.339448601,1.346179498
2014-07-01-02:00,1.346374071,1.353105941,1.339642201,1.346374071
2014-07-01-03:00,1.346568597,1.35330144,1.339835754,1.346568597
2014-07-01-04:00,1.346763077,1.353496892,1.340029261,1.346763077
2014-07-01-05:00,1.346957509,1.353692297,1.340222722,1.346957509
2014-07-01-06:00,1.347151895,1.353887655,1.340416136,1.347151895
2014-07-01-07:00,1.347346234,1.354082965,1.340609503,1.347346234
2014-07-01-08:00,1.347540525,1.354278228,1.340802823,1.347540525
2014-07-01-09:00,1.347734769,1.354473443,1.340996095,1.347734769
2014-07-01-10:00,1.347928965,1.35466861,1.34118932,1.347928965
2014-07-01-11:00,1.348123113,1.354863729,1.341382498,1.348123113
2014-07-01-12:00,1.348317213,1.355058799,1.341575627,1.348317213
2014-07-01-13:00,1.348511265,1.355253821,1.341768709,1.348511265
2014-07-01-14:00,1.348705268,1.355448794,1.341961742,1.348705268
2014-07-01-15:00,1.348899223,1.355643719,1.342154726,1.348899223
2014-07-01-16:00,1.349093128,1.355838594,1.342347663,1.349093128
2014-07-01-17:00,1.349286985,1.35603342,1.34254055,1.349286985
2014-07-01-18:00,1.349480792,1.356228196,1.342733388,1.349480792
2014-07-01-19:00,1.34967455,1.356422922,1.342926177,1.34967455
2014-07-01-20:00,1.349868258,1.356617599,1.343118916,1.349868258
2014-07-01-21:00,1.350061916,1.356812225,1.343311606,1.350061916
2014-07-01-22:00,1.350255524,1.357006801,1.343504246,1.350255524
2014-07-01-23:00,1.350449082,1.357201327,1.343696836,1.350449082
2014-07-02-00:00,1.350642589,1.357395802,1.343889376,1.350642589
2014-07-02-01:00,1.350836046,1.357590226,1.344081866,1.350836046
2014-07-02-02:00,1.351029452,1.357784599,1.344274305,1.351029452
2014-07-02-03:00,1.351222807,1.357978921,1.344466693,1.351222807
2014-07-02-04:00,1.35141611,1.358173191,1.34465903,1.35141611
2014-07-02-05:00,1.351609363,1.358367409,1.344851316,1.351609363
2014-07-02-06:00,1.351802563,1.358561576,1.34504355,1.351802563
2014-07-02-07:00,1.351995712,1.358755691,1.345235734,1.351995712
2014-07-02-08:00,1.352188809,1.358949753,1.345427865,1.352188809
2014-07-02-09:00,1.352381854,1.359143763,1.345619944,1.352381854
2014-07-02-10:00,1.352574846,1.35933772,1.345811972,1.352574846
2014-07-02-11:00,1.352767786,1.359531625,1.346003947,1.352767786
2014-07-02-12:00,1.352960673,1.359725476,1.346195869,1.352960673
2014-07-02-13:00,1.353153507,1.359919274,1.346387739,1.353153507
2014-07-02-14:00,1.353346287,1.360113019,1.346579556,1.353346287
2014-07-02-15:00,1.353539015,1.36030671,1.34677132,1.353539015
2014-07-02-16:00,1.353731689,1.360500347,1.34696303,1.353731689
2014-07-02-17:00,1.353924309,1.36069393,1.347154687,1.353924309
2014-07-02-18:00,1.354116875,1.36088746,1.347346291,1.354116875
2014-07-02-19:00,1.354309387,1.361080934,1.34753784,1.354309387
2014-07-02-20:00,1.354501845,1.361274354,1.347729336,1.354501845
2014-07-02-21:00,1.354694249,1.36146772,1.347920777,1.354694249
2014-07-02-22:00,1.354886597,1.36166103,1.348112164,1.354886597
2014-07-02-23:00,1.355078891,1.361854285,1.348303497,1.355078891
2014-07-03-00:00,1.35527113,1.362047485,1.348494774,1.35527113
2014-07-03-01:00,1.355463313,1.36224063,1.348685997,1.355463313
2014-07-03-02:00,1.355655441,1.362433718,1.348877164,1.355655441
2014-07-03-03:00,1.355847513,1.362626751,1.349068276,1.355847513
2014-07-03-04:00,1.35603953,1.362819727,1.349259332,1.35603953
2014-07-03-05:00,1.35623149,1.363012648,1.349450333,1.35623149
2014-07-03-06:00,1.356423394,1.363205511,1.349641277,1.356423394
2014-07-03-07:00,1.356615242,1.363398318,1.349832166,1.356615242
2014-07-03-08:00,1.356807033,1.363591069,1.350022998,1.356807033
2014-07-03-09:00,1.356998768,1.363783762,1.350213774,1.356998768
2014-07-03-10:00,1.357190445,1.363976397,1.350404493,1.357190445
2014-07-03-11:00,1.357382065,1.364168975,1.350595155,1.357382065
2014-07-03-12:00,1.357573628,1.364361496,1.35078576,1.357573628
2014-07-03-13:00,1.357765133,1.364553959,1.350976307,1.357765133
2014-07-03-14:00,1.357956581,1.364746363,1.351166798,1.357956581
2014-07-03-15:00,1.35814797,1.36493871,1.35135723,1.35814797
2014-07-03-16:00,1.358339301,1.365130998,1.351547605,1.358339301
